OBJECTID,the_geom,GEOID,STATE,COUNTY,TRACT,BASENAME,NAME,MTFCC,LSADC,FUNCSTAT,AREALAND,AREAWATER,CENTLAT,CENTLON,INTPTLAT,INTPTLON,OID
43015,"MULTIPOLYGON (((-121.913612999747 37.301543000225, -121.913602999701 37.302241999937, -121.913601999876 37.303882999838, -121.912553000288 37.30388600023, -121.910452999665 37.304209000007, -121.9010779999 37.308468000103, -121.897311999921 37.303616000236, -121.902191999786 37.30134300002, -121.905674999907 37.301032999652, -121.905086999553 37.294479000193, -121.908670000133 37.293808000303, -121.909356000396 37.294232000019, -121.909928999783 37.294418999841, -121.913535999754 37.294440999999, -121.913545999799 37.294872000283, -121.913570000089 37.298112999658, -121.913610000272 37.300931000265, -121.913612999747 37.301543000225)))",06085502301,06,085,502301,5023.01,Census Tract 5023.01,G5020,CT,S,1227224,0,+37.3010947,-121.9070419,+37.3010965,-121.9070616,207903717089453
2194,"MULTIPOLYGON (((-121.884290000003 37.435610000291, -121.881666000397 37.436169000081, -121.879503000025 37.436642999906, -121.876000999636 37.437420000104, -121.873272000448 37.429501000156, -121.878800000043 37.428197000223, -121.880934000103 37.42694899989, -121.881786000047 37.426495999868, -121.883735999984 37.425769999916, -121.88834999971 37.434650000323, -121.884290000003 37.435610000291)))",06085504418,06,085,504418,5044.18,Census Tract 5044.18,G5020,CT,S,1028567,0,+37.4319856,-121.8806011,+37.4320029,-121.8805924,20790154322658
10602,"MULTIPOLYGON (((-122.049639999979 37.315550000333, -122.041440000199 37.315570000314, -122.032909999808 37.315600000275, -122.032339999896 37.315560000324, -122.03226899975 37.312229000231, -122.032471000315 37.312242000008, -122.032261000253 37.308240999926, -122.03293900012 37.308244000144, -122.033090999558 37.308244000144, -122.034141999694 37.309756000312, -122.039199999834 37.310240999647, -122.041454000443 37.309640000094, -122.044992999743 37.307528999654, -122.046008999719 37.307273999734, -122.049639999979 37.315550000333)))",06085507807,06,085,507807,5078.07,Census Tract 5078.07,G5020,CT,S,997039,0,+37.3124173,-122.0405971,+37.3124132,-122.0405536,20790154320199
9437,"MULTIPOLYGON (((-122.439679000253 37.636303000073, -122.436643999844 37.6376750003, -122.436530999867 37.637726999665, -122.433784000237 37.63533400024, -122.432694999567 37.634549000343, -122.423462000093 37.640514000133, -122.423435000329 37.640471999871, -122.423330999673 37.640340000215, -122.419005999652 37.641980000252, -122.417316000007 37.63918799992, -122.416762999813 37.6393529997, -122.413759000265 37.634184000322, -122.415669999844 37.634043000243, -122.417119000363 37.63367799987, -122.418981000436 37.632887999755, -122.416599999606 37.628825999901, -122.419782000327 37.62760800024, -122.423382999552 37.626273999698, -122.427588999747 37.624983000258, -122.428574999586 37.62439399995, -122.430455000101 37.626756000039, -122.435037999864 37.630338000145, -122.437819999654 37.632863000051, -122.439679000253 37.636303000073)))",06081604102,06,081,604102,6041.02,Census Tract 6041.02,G5020,CT,S,2291381,0,+37.6331442,-122.4257114,+37.6331744,-122.4257488,20790351439518
36824,"MULTIPOLYGON (((-121.972767999945 37.542258000136, -121.973085000138 37.544046999965, -121.973118999575 37.544394999815, -121.972261999607 37.549114999995, -121.968098999968 37.546912999766, -121.965301000284 37.545087000338, -121.962677999605 37.543428000012, -121.960601000345 37.541671999677, -121.961337999764 37.541127999713, -121.963998000253 37.538061999654, -121.96545899957 37.536376000126, -121.966361999568 37.536887999898, -121.970699000183 37.539350999861, -121.973146000237 37.540693000173, -121.972767999945 37.542258000136)))",06001441921,06,001,441921,4419.21,Census Tract 4419.21,G5020,CT,S,846805,0,+37.5424503,-121.9678378,+37.5424223,-121.9678076,20790141323914
3181,"MULTIPOLYGON (((-122.276796000422 37.77513399969, -122.270439000449 37.774994000259, -122.269416999727 37.774964999741, -122.265832000396 37.774816999855, -122.263306999626 37.774714999645, -122.26347200038 37.770948000245, -122.263532999581 37.769241999827, -122.263596000229 37.767430999953, -122.26367700042 37.765421000198, -122.270704999689 37.768599000179, -122.271266000279 37.768584999649, -122.272972999643 37.769256000232, -122.272877000282 37.771273999945, -122.275088000335 37.771351999821, -122.276849000126 37.771383999729, -122.276796000422 37.77513399969)))",06001427800,06,001,427800,4278,Census Tract 4278,G5020,CT,S,831152,0,+37.7714674,-122.2690395,+37.7714922,-122.2690581,20790141323810
9925,"MULTIPOLYGON (((-122.436798999655 37.802714999651, -122.431678999591 37.8032670002, -122.430045000022 37.803518000318, -122.42966699973 37.80165400032, -122.429290000162 37.799787999881, -122.424463999825 37.800402000328, -122.424274999679 37.79947200015, -122.427457000401 37.7990670001, -122.430747000179 37.798648000153, -122.432393000342 37.798439000069, -122.434036000132 37.798230000104, -122.435678000097 37.798021000257, -122.436273999949 37.80081400021, -122.436798999655 37.802714999651)))",06075012902,06,075,012902,129.02,Census Tract 129.02,G5020,CT,S,352886,0,+37.8006286,-122.4321208,+37.8006183,-122.4321104,207903717106288
39099,"MULTIPOLYGON (((-122.333240000078 37.587611000078, -122.333048626583 37.588228654931, -122.328942999646 37.58879500002, -122.325118999941 37.591525999998, -122.31491999982 37.591242999963, -122.315385000151 37.587265000187, -122.315713000214 37.583665999832, -122.30589499986 37.575484000091, -122.304322668737 37.575479421474, -122.306622000131 37.574210000213, -122.308932999743 37.574614999705, -122.310260999889 37.573891000235, -122.311307000002 37.573178000262, -122.312606999661 37.5723599999, -122.314093999815 37.570829999786, -122.317296999554 37.573775999713, -122.318525000141 37.57492199996, -122.320008000097 37.576278999971, -122.321466999765 37.577561999689, -122.325909999786 37.581693999728, -122.329885999827 37.585297000009, -122.330936999964 37.585899000315, -122.332308999592 37.586385999757, -122.33473300008 37.586644000168, -122.333240000078 37.587611000078)), ((-122.296859691732 37.575457691015, -122.288445441062 37.575433190311, -122.288366000346 37.570472999698, -122.293744000153 37.570541999675, -122.294438999739 37.570707999791, -122.295761999862 37.570755999661, -122.296992000098 37.57175900012, -122.296859691732 37.575457691015)))",06081606100,06,081,606100,6061,Census Tract 6061,G5020,CT,S,2566048,2675262,+37.5811450,-122.3154731,+37.5807361,-122.3144888,20790351434044
32681,"MULTIPOLYGON (((-122.07827300016 37.926281000159, -122.073507999923 37.926335999718, -122.073517000144 37.928181999794, -122.073517999968 37.928698999647, -122.073498999702 37.93339899981, -122.070234000038 37.933390000131, -122.061532000118 37.93232799983, -122.060742000098 37.931719000287, -122.060193000102 37.931696000344, -122.060084000322 37.931694999884, -122.060479000332 37.926458000126, -122.060887999687 37.923757999791, -122.061507000004 37.92190099976, -122.062948999952 37.918664000056, -122.064083999754 37.917260999917, -122.066246000301 37.914628000296, -122.067571999899 37.910978999788, -122.068145000184 37.910869999665, -122.069635999638 37.90928100016, -122.07000100041 37.909746999966, -122.073409000188 37.915099000136, -122.073549999755 37.917232000017, -122.077898000241 37.917194999809, -122.078018999716 37.919415999796, -122.078135999892 37.922769999777, -122.07827300016 37.926281000159)))",06013340001,06,013,340001,3400.01,Census Tract 3400.01,G5020,CT,S,2714492,0,+37.9232075,-122.0689670,+37.9232373,-122.0689528,20790146186370
8108,"MULTIPOLYGON (((-122.271273999777 37.804360999669, -122.266771000379 37.811552999985, -122.265420999594 37.811468000201, -122.262463000077 37.810944999812, -122.263162999686 37.808899000233, -122.266018000169 37.806957999967, -122.264777999886 37.80511900005, -122.266458000385 37.802496999653, -122.268798000309 37.803427000071, -122.271273999777 37.804360999669)))",06001402900,06,001,402900,4029,Census Tract 4029,G5020,CT,S,391800,0,+37.8071882,-122.2668350,+37.8071720,-122.2667847,20790141323976
25440,"MULTIPOLYGON (((-122.490304999885 37.678493000177, -122.489343000336 37.683360999844, -122.487085000427 37.683063999963, -122.486822999588 37.677079000206, -122.485118999699 37.676094000275, -122.483377000175 37.676098000346, -122.480488000255 37.676103000078, -122.479566999815 37.675855000267, -122.480120999834 37.67470700001, -122.480144000298 37.671234000115, -122.480140999925 37.670557999771, -122.483266999671 37.670281000333, -122.483788999903 37.670047000231, -122.485409999952 37.668548999975, -122.486442999647 37.66970500034, -122.488853999716 37.673800999849, -122.489817999814 37.675676000207, -122.490251000357 37.677389000236, -122.490304999885 37.678493000177)))",06081601501,06,081,601501,6015.01,Census Tract 6015.01,G5020,CT,S,717017,0,+37.6750608,-122.4856023,+37.6750754,-122.4856364,20790351439635
