FID,BDNUM,Shape_STAr,Shape_STLe,SHAPE_Length,SHAPE_Area
1,1,204415909.251,71797.8017307,0.239243451263043,0.00216767112795595
2,9,72901470.953,42091.4463704,0.141295351273311,0.000772156509436486
3,3,106205654.162,57104.3487291,0.18869988753608,0.00112576027336171
4,4,147170413.587,57462.0489683,0.18539902854542,0.00156107533143884
5,8,78692295.7498,47568.4066762,0.154031602782364,0.000833260686051264
6,10,80098259.2751,50210.9417601,0.161850637161456,0.000848388735411711
7,2,141078897.151,70420.5150494,0.232650741014772,0.00149476708250469
8,5,135479025.785,51967.1532869,0.1718428697606,0.00143617838436372
9,7,128967333.688,64143.3007891,0.213011314045261,0.00136645922726694
10,11,147005989.015,75386.1695773,0.252296418060141,0.00155597381491265
11,12,151011728.705,66850.3916938,0.218837540783381,0.00159882235899316
12,13,160440447.362,60956.0994921,0.189142424606713,0.00169848690516304
13,6,48487412.7214,49225.5269173,0.165051434278907,0.000513713913905041
