CounDist,CT2020
1,"['000301', '004700', '000500', '003900', '031704', '000100', '031900', '002100', '001300', '004700', '003300', '004100', '000700', '001401', '004300', '000202', '004500', '003601', '002700', '000700', '002100', '001502', '000201', '001800', '001001', '000600', '001402', '004900', '001002', '003100', '002500', '002902', '002901', '001600', '003001', '002201', '001200', '000800', '001501', '000900', '003700', '005303', '031703', '000100']"
2,"['004900', '055500', '001002', '004300', '002400', '007001', '006200', '002800', '006800', '007400', '002000', '005501', '007002', '003001', '004001', '004800', '003602', '004002', '003200', '006500', '006600', '005502', '006100', '007200', '006400', '005600', '002602', '004200', '006300', '003400', '005700', '002201', '005900', '002601', '005200', '005400', '005000', '003800', '003002', '002202', '001001', '001200', '006000', '003700', '004400', '003601']"
3,"['010100', '007400', '007600', '009901', '013501', '004900', '009100', '009902', '009300', '009700', '013700', '008900', '007900', '012101', '008100', '005800', '013900', '008700', '005400', '007700', '010300', '011300', '006700', '006900', '013300', '007500', '004700', '007100', '003700', '008300', '005200', '013100', '007300', '012700', '012901', '009500', '012500', '011900', '011500', '009903', '012102', '011100', '011700', '012902', '005600', '010900', '006300', '006500', '013502']"
4,"['006200', '012602', '008601', '002800', '013400', '014602', '014601', '011000', '010000', '006600', '008602', '010601', '011401', '011402', '014801', '009000', '011201', '007002', '011202', '011203', '002400', '007200', '010802', '008000', '010100', '016001', '009200', '010900', '007800', '007001', '012000', '009800', '011300', '008200', '014200', '010803', '000101', '010200', '007600', '008400', '013000', '012500', '056500', '009600', '011900', '008603', '055700', '010801', '010400', '007400', '012200', '015001', '013100', '015002', '014000', '008800', '012800', '014802', '009400', '003400', '006000', '004400', '013800', '011800']"
5,"['014802', '015200', '023802', '014602', '014402', '011800', '013800', '012602', '011000', '012400', '014601', '013603', '015403', '013203', '010602', '015402', '014401', '013601', '008602', '013604', '013602', '015401', '000102', '015801', '010601', '023803', '013400', '013201', '011600', '012601', '010803', '015601', '016001', '013202', '010802', '023804', '015002']"
6,"['013100', '010400', '012200', '016001', '013000', '016002', '013501', '017401', '011401', '013700', '015900', '014500', '014300', '013502', '013300', '017500', '014900', '015501', '016500', '017700', '017300', '015301', '015700', '017900', '011202', '017100', '013900', '018100', '014700', '016100', '015101', '015502', '016700', '016900', '015302', '018300', '016300', '011201', '015001', '015002', '014200', '016800', '015102']"
7,"['021703', '022301', '021303', '024700', '014300', '025700', '019702', '020901', '019900', '020500', '022700', '021100', '017700', '023300', '023501', '019300', '022900', '023100', '023700', '020101', '021900', '018700', '018900', '019701', '024100', '020701', '018100', '018300', '019100', '024500', '022302', '020300', '019500', '017900', '018500', '020102', '022500']"
8,"['009302', '024000', '016200', '001902', '001903', '003900', '018800', '019400', '015802', '007900', '003700', '018000', '002701', '004300', '006500', '001901', '003500', '016001', '016002', '007500', '003300', '016400', '016600', '003100', '017401', '001904', '015200', '017402', '017000', '015602', '007300', '019200', '004100', '019600', '018400', '002300', '002500', '024200', '015601', '006301', '002702', '017800', '017200', '016800', '018200', '006100', '015801', '008300', '005100']"
9,"['023600', '014300', '019300', '019702', '023400', '022800', '021600', '023502', '022000', '021500', '023000', '019600', '023501', '019000', '019800', '018200', '020800', '022600', '021703', '024200', '017402', '023200', '023100', '020102', '022400', '022102', '020901', '018400', '022200', '017401', '020000', '022700', '021303', '018600', '021400', '025700', '021800', '020600', '021200', '025900', '021000', '024302', '016800']"
10,"['028300', '028700', '027500', '031100', '026500', '024500', '026100', '024700', '027700', '025300', '026700', '029300', '030300', '028300', '026900', '029100', '027900', '026300', '030700', '029700', '023900', '029500', '025100', '027100', '028100', '028500', '024100', '024301', '027300', '024900', '029900', '023700', '026900', '023501', '025500', '030900', '024302']"
11,"['044200', '033700', '030900', '037800', '026500', '040303', '034300', '040701', '031900', '039200', '026702', '041400', '044400', '027300', '033400', '043503', '033500', '040800', '030900', '043501', '041900', '030100', '035100', '033601', '028500', '042500', '027700', '042600', '029700', '040702', '042902', '032300', '027900', '044902', '042000', '044901', '028700', '042300', '033202', '029302', '029301', '030701', '043102', '042400', '042200', '029500', '043000', '041100', '042901', '029700', '043502', '045102', '028900', '041500', '028300', '041800', '042100', '033602', '034500', '040400', '043101', '043600', '028100', '045101', '043400', '040600', '041300', '040900', '040304', '039700', '037600', '039400']"
12,"['050400', '030202', '044400', '043501', '046205', '042600', '038000', '035800', '039800', '037200', '043000', '042400', '045600', '046204', '046000', '037600', '034000', '039600', '039200', '036400', '038600', '033801', '033202', '033000', '038200', '046206', '040400', '027600', '034400', '033400', '044800', '035000', '037800', '034200', '039000', '033802', '030201', '048401', '043600', '038800', '035600', '040600', '046208', '037400', '033602', '040800', '036000', '036800', '033601', '045800', '034800', '048402', '042800', '046209', '046207', '037000', '039400', '046203', '031000']"
13,"['033400', '036000', '022401', '051601', '016000', '021001', '019400', '021601', '027402', '011000', '009600', '020400', '009000', '027600', '013800', '030202', '021602', '031000', '051602', '014400', '024000', '011800', '020000', '028600', '050400', '031600', '032400', '032600', '025000', '031800', '028800', '026602', '015800', '026601', '023000', '022403', '046209', '018400', '023200', '034200', '027401', '022404', '016600', '025200', '016200', '031200', '034000', '023800', '025600', '024800', '015200', '016400', '030000', '031400', '026400', '024400', '028400', '023600', '033801', '022800', '024600', '034400', '033201', '033000', '035000', '025400', '013200', '021800', '034800', '013000', '029600', '022000', '032800', '045600', '046203']"
14,"['023502', '040900', '038100', '026702', '027900', '040302', '023702', '038301', '021302', '027300', '026300', '023301', '025700', '020501', '020900', '040100', '021301', '040303', '024300', '024900', '024502', '025100', '041300', '028300', '023703', '023100', '023704', '040702', '020502', '026100', '021502', '026500', '022701', '024100', '021700', '022901', '023501', '025500', '040701', '041100', '020100', '023900', '022703', '025300', '021501', '023302', '040304', '028900', '024700', '016500', '026701', '026900', '022902', '030900', '027700', '024501', '039901', '022702']"
15,"['022901', '017702', '023000', '006000', '022000', '016700', '022401', '033400', '015100', '040502', '016500', '036501', '037900', '014900', '016300', '038900', '022902', '036902', '036100', '038304', '040702', '024000', '039500', '035900', '038500', '033201', '015300', '040302', '023100', '037504', '039902', '039700', '036502', '036700', '040501', '023502', '022703', '016100', '037100', '021800', '036300', '023702', '023302', '038301', '033202', '038100', '037300', '038700', '017100', '036901', '039300', '038303', '022500', '039901', '039100', '015500', '016900', '033000']"
16,"['016300', '022703', '006500', '024900', '020501', '014100', '020900', '005300', '017702', '022102', '006301', '020502', '014900', '018102', '016900', '022300', '018101', '014702', '017300', '017902', '022500', '020100', '018302', '014701', '017500', '019700', '006100', '021900', '014500', '021302', '017701', '014300', '024700', '022702', '021100', '019500', '018301', '017901', '019900', '025700', '006302', '005902', '018501', '022101', '017100', '021301', '019300', '006700', '016700', '018900', '024501', '006900', '018502']"
17,"['001903', '006700', '006500', '021800', '003100', '009302', '021601', '006200', '009301', '012300', '015100', '016100', '035900', '005200', '014900', '012500', '003500', '004300', '012101', '015900', '014300', '006000', '007700', '008700', '007900', '008900', '005600', '015500', '005001', '011701', '006301', '011702', '006100', '012701', '012901', '005400', '014100', '012102', '008300', '018502', '007500', '005002', '007100', '011502', '001904', '007300', '005100', '013500', '013300', '006900', '008500', '011900', '015300', '013100', '015700', '007600', '004800', '002800', '003700', '006400']"
18,"['009000', '009600', '000200', '000400', '007800', '009200', '002400', '021002', '021200', '028400', '007400', '008400', '007200', '020000', '002001', '022200', '009800', '002002', '004001', '021001', '005002', '008600', '003800', '006200', '005001', '007600', '021601', '020400', '004200', '020200', '006800', '004600', '021800', '001600', '004800', '007000', '020601', '002800', '004400', '021602', '011702', '019400', '011502', '006400']"
19,"['138501', '144100', '152902', '152901', '099900', '148300', '092900', '099100', '143500', '086900', '093900', '109900', '094500', '099701', '146700', '088903', '118100', '138502', '099705', '094700', '088902', '099704', '105900', '117100', '101700', '111300', '109300', '091900', '113900', '118500', '144700', '109700', '103900', '150702', '090700', '112900', '115700', '147900', '115100', '145102', '114700', '104700', '092500', '115500', '145101', '119300', '119500', '147100', '115900', '146300', '103300', '102900', '038301', '150701', '114100', '112300', '145900', '117500', '097300', '113300', '033100', '108500', '142900', '099703', '120702', '098700', '098100']"
20,"['080900', '134100', '142900', '080302', '115100', '121500', '117100', '038302', '087100', '085300', '084901', '119100', '116700', '119900', '086900', '122702', '120702', '118500', '079702', '115900', '118900', '079900', '145102', '120100', '079701', '084902', '140901', '120300', '122703', '116100', '120500', '086100', '086500', '134701', '115500', '086300', '116301', '085700', '038301', '115700', '104700', '116302', '083700', '085500', '120701', '119500', '141700', '085900', '084500', '119300', '088903', '080301', '140902', '118700', '088902', '121100', '128300', '122300', '134702', '145900', '079300']"
21,"['046100', '027701', '027900', '031700', '068300', '032900', '071900', '038302', '035700', '037502', '030904', '033100', '026901', '038100', '040702', '046300', '037100', '040102', '043702', '043701', '044301', '046700', '042700', '027301', '028100', '037300', '040502', '036700', '037501', '040301', '027500', '037700', '040302', '040701', '027302', '041500', '041300', '027102', '039902', '041100', '040901', '037900', '046902', '043900', '040101', '040902', '040501', '038301', '044302', '039901', '036500', '045500', '035100', '034700', '036100', '036300', '035300', '071702', '046500', '074500', '028300']"
