filename,city,state,Geography,District #,office,year,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
Springville_11022021_CityCouncil2yr.csv,Springville,UT,city council,,City council,2021,18789,7419,16442,2.7,17,787,5599,28073,99894,84699,15997,192,387,588,241,484,35195,2441,1340,35195,35195,10258
NewYorkCity_06222021_DEMBoroughPresidentBronx.csv,New York ,NY,boroughcounty,,Borough president,2021,943981,200268,657051,11.2,853,21559,814017,123902,69157,47036,583452,978,31783,69437,572513,4843,1443229,489783,231033,1443229,1443229,525387
NewYorkCity_06222021_DEMBoroughPresidentKings.csv,New York ,NY,boroughcounty,,Borough president,2021,1860601,751724,1359468,7.3,1009,32190,506473,966614,114302,74692,1260636,923,32212,369700,886411,5108,2679620,945466,358499,2679620,2679620,997957
NewYorkCity_06222021_DEMBoroughPresidentNewYork.csv,New York ,NY,boroughcounty,,Borough president,2021,1267630,795444,953371,6.8,326,16607,428297,749800,184058,99880,888836,942,26798,228419,288246,3575,1645867,462627,212617,1645867,1645867,772601
NewYorkCity_06222021_DEMBoroughPresidentQueens.csv,New York ,NY,boroughcounty,,Borough president,2021,1709759,594463,1236423,7,768,23609,661807,560919,109287,82431,1149568,833,33434,658424,475771,7620,2360826,1112847,453213,2360826,2360826,816859
NewYorkCity_06222021_REPBoroughPresidentQueens.csv,New York ,NY,boroughcounty,,Borough president,2021,1709759,594463,1236423,7,768,23609,661807,560919,109287,82431,1149568,833,33434,658424,475771,7620,2360826,1112847,453213,2360826,2360826,816859
NewYorkCity_06222021_DEMBoroughPresidentRichmond.csv,New York ,NY,boroughcounty,,Borough president,2021,344639,121775,239189,5.4,376,5720,92411,285903,122431,96185,226190,264,3926,61856,57456,275,492925,122426,38046,492925,492925,170000
NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,New York ,NY,boroughcounty,,Borough president,2021,344639,121775,239189,5.4,376,5720,92411,285903,122431,96185,226190,264,3926,61856,57456,275,492925,122426,38046,492925,492925,170000
Albany_11082022_BoardofEducation.csv,Albany,CA,city,,Board of education,2022,13842,10409,10688,3.3,19,198,2367,8852,166873,124469,10339,37,361,7321,1591,50,20027,5417,2526,20027,20027,7746
Albany_11082022_CityCouncil.csv,Albany,CA,city,,City council,2022,13842,10409,10688,3.3,19,198,2367,8852,166873,124469,10339,37,361,7321,1591,50,20027,5417,2526,20027,20027,7746
