Variable,Available Elections,Missing Elections,Percent Elections Available,Average Tract Availability
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,498,0,1.0,1.0
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,475,23,0.9538152610441767,0.8279831026169919
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,498,0,1.0,1.0
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,475,23,0.9538152610441767,0.8798029141964573
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,498,0,1.0,1.0
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,498,0,1.0,1.0
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),498,0,1.0,1.0
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,498,0,1.0,1.0
Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),498,0,1.0,0.966561067253677
Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),498,0,1.0,0.927257407380611
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,498,0,1.0,0.8279831026169919
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",498,0,1.0,1.0
Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,498,0,1.0,1.0
Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,498,0,1.0,1.0
Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,498,0,1.0,1.0
Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,498,0,1.0,1.0
Estimate!!RACE!!Total population,498,0,1.0,1.0
Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,498,0,1.0,0.8361017463286576
Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,498,0,1.0,0.8361017463286576
Estimate!!HISPANIC OR LATINO AND RACE!!Total population,498,0,1.0,1.0
Estimate!!SEX AND AGE!!Total population,498,0,1.0,1.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households,498,0,1.0,1.0
