filename,year,DP02_0001E,DP05_0068E,DP05_0069E,DP05_0062E,DP03_0034E,DP05_0033E,DP03_0062E,DP05_0073E,DP02_0037E,DP02_0059E,DP05_0071E,DP05_0065E,DP05_0072E,DP03_0064E,DP05_0063E,DP02_0067PE,DP02_0093E,DP02_0068E,DP03_0008E,DP02_0095E,DP03_0063E,DP02_0067E,DP02_0036E,DP03_0033E,DP05_0067E,DP02_0094E,DP05_0060E,DP05_0079E,DP03_0032E,DP05_0077E,DP05_0066E,DP05_0061E,DP03_0006E,DP05_0028E,DP05_0070E,DP02_0097E,DP02_0096E,DP02_0058E,DP03_0009PE,DP05_0001E
Springville_11022021_CityCouncil2yr.csv,2021,10258,387,588,,,35195,84699,5599,787,18789,,,35195,,,,,7419,16442,2441,99894,,,192,241,,,28073,15997,,,,17,,484,1340,,,2.7,35195
NewYorkCity_06222021_DEMBoroughPresidentBronx.csv,2021,525387,31783,69437,,,1443229,47036,814017,21559,943981,,,1443229,,,,,200268,657051,489783,69157,,,978,572513,,,123902,583452,,,,853,,4843,231033,,,11.2,1443229
NewYorkCity_06222021_DEMBoroughPresidentKings.csv,2021,997957,32212,369700,,,2679620,74692,506473,32190,1860601,,,2679620,,,,,751724,1359468,945466,114302,,,923,886411,,,966614,1260636,,,,1009,,5108,358499,,,7.3,2679620
NewYorkCity_06222021_DEMBoroughPresidentNewYork.csv,2021,772601,26798,228419,,,1645867,99880,428297,16607,1267630,,,1645867,,,,,795444,953371,462627,184058,,,942,288246,,,749800,888836,,,,326,,3575,212617,,,6.8,1645867
NewYorkCity_06222021_DEMBoroughPresidentQueens.csv,2021,816859,33434,658424,,,2360826,82431,661807,23609,1709759,,,2360826,,,,,594463,1236423,1112847,109287,,,833,475771,,,560919,1149568,,,,768,,7620,453213,,,7.0,2360826
NewYorkCity_06222021_REPBoroughPresidentQueens.csv,2021,816859,33434,658424,,,2360826,82431,661807,23609,1709759,,,2360826,,,,,594463,1236423,1112847,109287,,,833,475771,,,560919,1149568,,,,768,,7620,453213,,,7.0,2360826
NewYorkCity_06222021_DEMBoroughPresidentRichmond.csv,2021,170000,3926,61856,,,492925,96185,92411,5720,344639,,,492925,,,,,121775,239189,122426,122431,,,264,57456,,,285903,226190,,,,376,,275,38046,,,5.4,492925
NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,2021,170000,3926,61856,,,492925,96185,92411,5720,344639,,,492925,,,,,121775,239189,122426,122431,,,264,57456,,,285903,226190,,,,376,,275,38046,,,5.4,492925
Albany_11082022_BoardofEducation.csv,2022,7746,361,7321,,,20027,124469,2367,198,13842,,,20027,,,,,10409,10688,5417,166873,,,37,1591,,,8852,10339,,,,19,,50,2526,,,3.3,20027
Albany_11082022_CityCouncil.csv,2022,7746,361,7321,,,20027,124469,2367,198,13842,,,20027,,,,,10409,10688,5417,166873,,,37,1591,,,8852,10339,,,,19,,50,2526,,,3.3,20027
Berkeley_11032020_MayorBerkeleyRCV.csv,2020,45788,2219,31581,,,121385,104716,14654,619,77160,,,121385,,,,,56907,65788,26086,160156,,,254,12021,,,63018,62190,,,,17,,563,14120,,,5.5,121385
Berkeley_11062012_Mayor.csv,2012,45569,,,26953,,,65283,,,,,115688,64553,,526,70.2,24070,,61109,14167,101774,,870,165,,,11669,,56064,,12564,1878,98,115688,,,,71341,8.3,115688
Berkeley_11062018_CityAuditor.csv,2018,45884,927,,,,123065,91259,,617,78378,13416,12929,,,,,,57332,67394,26148,136100,,,207,31274,,,,63884,65772,2482,,34,,123065,14764,,,5.2,123065
Berkeley_11082016_Mayor.csv,2016,44978,979,,,,120926,80912,,,,13772,12595,,,,,24889,,66574,14462,124789,54772,853,143,29569,,,,62909,65056,2241,,33,,120926,,,75035,5.5,120926
Burlington_03032009_Mayor.csv,2009,16773,,,1740,,,41024,,,,,42192,37305,,19,43.6,3549,,24565,1662,58632,,340,182,,,1796,,22568,,955,588,41,42192,,,,23632,8.1,42192
Burlington_03072006_Mayor.csv,2006,15156,,,1136,167,,,,,,,38630,35250,55951,9,(X),3133,,22805,1571,38598,,432,21129,,,1221,,,,693,327,34,38630,,,,20798,(X),38630
Corvallis_11082022_Mayor.csv,2022,24125,1418,7436,,,60050,61610,5219,368,32289,,,60050,,,,,19502,32304,7838,86174,,,462,1678,,,44665,29720,,,,30,,453,5409,,,8.0,60050
Easthampton_11022021_Mayor.csv,2021,7935,86,436,,,16136,67329,1277,48,12526,,,16136,,,,,4930,8548,1207,88267,,,97,760,,,13895,8089,,,,0,,0,308,,,5.4,16136
