filename,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
Springville_11022021_CityCouncil2yr.csv,18789.0,7419.0,16442.0,2.7,17.0,787.0,5599.0,28073.0,99894.0,84699.0,15997.0,192.0,387.0,588.0,241.0,484.0,35195.0,2441.0,1340.0,35195.0,35195.0,10258.0
NewYorkCity_06222021_DEMBoroughPresidentBronx.csv,943981.0,200268.0,657051.0,11.2,853.0,21559.0,814017.0,123902.0,69157.0,47036.0,583452.0,978.0,31783.0,69437.0,572513.0,4843.0,1443229.0,489783.0,231033.0,1443229.0,1443229.0,525387.0
NewYorkCity_06222021_DEMBoroughPresidentKings.csv,1860601.0,751724.0,1359468.0,7.3,1009.0,32190.0,506473.0,966614.0,114302.0,74692.0,1260636.0,923.0,32212.0,369700.0,886411.0,5108.0,2679620.0,945466.0,358499.0,2679620.0,2679620.0,997957.0
NewYorkCity_06222021_DEMBoroughPresidentNewYork.csv,1267630.0,795444.0,953371.0,6.8,326.0,16607.0,428297.0,749800.0,184058.0,99880.0,888836.0,942.0,26798.0,228419.0,288246.0,3575.0,1645867.0,462627.0,212617.0,1645867.0,1645867.0,772601.0
NewYorkCity_06222021_DEMBoroughPresidentQueens.csv,1709759.0,594463.0,1236423.0,7.0,768.0,23609.0,661807.0,560919.0,109287.0,82431.0,1149568.0,833.0,33434.0,658424.0,475771.0,7620.0,2360826.0,1112847.0,453213.0,2360826.0,2360826.0,816859.0
NewYorkCity_06222021_REPBoroughPresidentQueens.csv,1709759.0,594463.0,1236423.0,7.0,768.0,23609.0,661807.0,560919.0,109287.0,82431.0,1149568.0,833.0,33434.0,658424.0,475771.0,7620.0,2360826.0,1112847.0,453213.0,2360826.0,2360826.0,816859.0
NewYorkCity_06222021_DEMBoroughPresidentRichmond.csv,344639.0,121775.0,239189.0,5.4,376.0,5720.0,92411.0,285903.0,122431.0,96185.0,226190.0,264.0,3926.0,61856.0,57456.0,275.0,492925.0,122426.0,38046.0,492925.0,492925.0,170000.0
NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,344639.0,121775.0,239189.0,5.4,376.0,5720.0,92411.0,285903.0,122431.0,96185.0,226190.0,264.0,3926.0,61856.0,57456.0,275.0,492925.0,122426.0,38046.0,492925.0,492925.0,170000.0
Albany_11082022_BoardofEducation.csv,13842.0,10409.0,10688.0,3.3,19.0,198.0,2367.0,8852.0,166873.0,124469.0,10339.0,37.0,361.0,7321.0,1591.0,50.0,20027.0,5417.0,2526.0,20027.0,20027.0,7746.0
Albany_11082022_CityCouncil.csv,13842.0,10409.0,10688.0,3.3,19.0,198.0,2367.0,8852.0,166873.0,124469.0,10339.0,37.0,361.0,7321.0,1591.0,50.0,20027.0,5417.0,2526.0,20027.0,20027.0,7746.0
