geocode,year,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
06_001_422200,2010,2301.0,1583.088,1944.0,9.5,0.0,66.0,489.0,1899.0,79904.0,53151.0,1760.0,22.0,0.0,515.0,203.0,32.0,3127.0,931.0,723.0,3127.0,3127.0,1522.0
06_001_422400,2010,2579.0,2086.411,2715.0,1.9,0.0,0.0,276.0,1989.0,66278.0,45332.0,2663.0,0.0,0.0,2362.0,90.0,16.0,4686.0,1977.0,1370.0,4686.0,4686.0,2171.0
06_001_422300,2010,2283.0,1566.138,2138.0,4.5,0.0,64.0,357.0,2139.0,77234.0,52091.0,2042.0,7.0,0.0,782.0,173.0,44.0,3620.0,545.0,375.0,3620.0,3620.0,1591.0
06_001_420400,2010,2191.0,1899.597,1228.0,2.9,0.0,114.0,585.0,1035.0,51303.0,41339.0,1192.0,0.0,15.0,1797.0,126.0,31.0,3472.0,2085.0,1943.0,3472.0,3472.0,1160.0
06_001_421800,2010,1580.0,1226.08,1194.0,6.7,0.0,4.0,317.0,1590.0,110333.0,90046.0,1114.0,0.0,49.0,106.0,227.0,66.0,2162.0,218.0,99.0,2162.0,2162.0,897.0
06_001_422000,2010,1154.0,528.5319999999999,884.0,10.1,0.0,47.0,217.0,619.0,79189.0,50833.0,795.0,0.0,49.0,161.0,504.0,48.0,1482.0,180.0,83.0,1482.0,1482.0,644.0
06_001_421900,2010,2757.0,2164.245,2320.0,5.2,0.0,86.0,65.0,2372.0,110594.0,89917.0,2199.0,0.0,42.0,902.0,298.0,0.0,3649.0,645.0,270.0,3649.0,3649.0,1662.0
06_001_420600,2010,2127.0,1503.7890000000002,1590.0,6.1,0.0,8.0,255.0,1875.0,105331.0,104769.0,1493.0,10.0,85.0,656.0,159.0,28.0,2985.0,512.0,257.0,2985.0,2985.0,1231.0
06_001_422100,2010,1678.0,1045.394,1352.0,11.5,10.0,6.0,589.0,787.0,61569.0,46899.0,1197.0,18.0,30.0,304.0,412.0,0.0,2102.0,493.0,143.0,2102.0,2102.0,1071.0
06_001_423100,2010,2929.0,1531.867,2007.0,8.2,0.0,45.0,608.0,1755.0,62627.0,48591.0,1842.0,0.0,21.0,783.0,913.0,0.0,3920.0,850.0,444.0,3920.0,3920.0,1828.0
06_001_420500,2010,1419.0,980.5289999999999,1061.0,8.6,0.0,21.0,103.0,1286.0,91910.0,68088.0,970.0,8.0,16.0,591.0,57.0,6.0,2054.0,700.0,314.0,2054.0,2054.0,884.0
06_001_422200,2014,2694.0,1856.1660000000002,2367.0,3.3,0.0,54.0,385.0,2056.0,86679.0,66769.0,2290.0,22.0,56.0,731.0,314.0,67.0,3560.0,597.0,313.0,3560.0,3560.0,1613.0
06_001_422400,2014,2300.0,2024.0,2960.0,3.2,0.0,9.0,345.0,2235.0,79734.0,57083.0,2864.0,0.0,28.0,1538.0,75.0,0.0,4185.0,1612.0,1196.0,4185.0,4185.0,2123.0
