,TRACTCE20,BLOCKCE20,GEOID20,sup_dist,geometry,percent
1569,16700,3003,60750167003003,5,"MULTIPOLYGON (((-122.439254000082 37.770025000150916, -122.43925400010524 37.77002500014773, -122.43928326569343 37.77007886584151, -122.439254000082 37.770025000150916)), ((-122.440263 37.770725, -122.439673 37.770543, -122.43949290884817 37.770426620340565, -122.4396730004049 37.770543000071996, -122.44026300040878 37.770724999798034, -122.44033343081419 37.770815447992966, -122.440263 37.770725)), ((-122.44291522086525 37.7697579929996, -122.4427649998162 37.769661000352365, -122.44276500016163 37.769661000104364, -122.44291522086525 37.7697579929996)), ((-122.443312 37.77047, -122.4428567499789 37.77052820548215, -122.44331199997318 37.770469999834496, -122.443312 37.77047)), ((-122.443155 37.769972, -122.44318801933075 37.77003443655269, -122.44315499980351 37.7699719999632, -122.4431161024097 37.76992995628107, -122.443155 37.769972)))",0.0
2004,20101,2003,60750201012003,8,"POLYGON ((-122.422365 37.769868, -122.42237397246828 37.76996451465882, -122.42236499994219 37.7698680000037, -122.422365 37.769868))",0.0
2956,30102,2012,60750301022012,7,"MULTIPOLYGON (((-122.448535 37.759045, -122.44995827346489 37.75885475459116, -122.44853500015867 37.7590450003394, -122.44853500000798 37.759045000114604, -122.448535 37.759045)), ((-122.451367 37.758576, -122.45136700003387 37.758576000163984, -122.45121379884006 37.75862811637633, -122.451367 37.758576)))",0.0
271,12204,2000,60750122042000,3,"POLYGON ((-122.415729 37.786402, -122.41513 37.786479, -122.41481603218686 37.7865188534995, -122.41513000006837 37.78647899966426, -122.41572900029307 37.786401999723154, -122.41624724585841 37.78633577969587, -122.415729 37.786402))",0.0
99,25701,1000,60750257011000,11,"MULTIPOLYGON (((-122.419257 37.731665, -122.419256 37.731683, -122.419251 37.731867, -122.41924831008575 37.731941164778874, -122.41925099987469 37.73186699981357, -122.41925599989756 37.73168299973197, -122.4192569997225 37.731665000116436, -122.41926579378121 37.731438391022586, -122.419257 37.731665)), ((-122.419282 37.731164, -122.41927536469807 37.731255788343404, -122.41928199983685 37.73116400018094, -122.41933975310734 37.73069816724407, -122.419282 37.731164)))",0.0
2976,15500,2005,60750155002005,2,"MULTIPOLYGON (((-122.439549 37.783377, -122.43963144520849 37.78380754719989, -122.43954899965982 37.78337700002474, -122.439549 37.783377)), ((-122.439713 37.784231, -122.43972263146208 37.78427745764062, -122.43971299968956 37.78423100000966, -122.43964575361179 37.78388204576924, -122.439713 37.784231)))",0.0
5023,30900,3015,60750309003015,11,"MULTIPOLYGON (((-122.462265 37.721828, -122.462265 37.721748, -122.46226500008146 37.72174799995113, -122.46226500008146 37.721828000126415, -122.46226823678623 37.722471580994565, -122.462265 37.721828)), ((-122.462335 37.721706, -122.4623388999822 37.72170457000652, -122.46233500040171 37.72170599991246, -122.46230954179701 37.72172127492179, -122.462335 37.721706)))",0.0
562,60400,2003,60750604002003,4,"MULTIPOLYGON (((-122.496564 37.733856, -122.49656400026774 37.73385599968637, -122.49675197707539 37.73386308132818, -122.496564 37.733856)), ((-122.496599 37.733815, -122.49662257052083 37.73378697019144, -122.49659900010936 37.73381499997084, -122.49659184599712 37.73382338040338, -122.496599 37.733815)), ((-122.496685 37.733698, -122.49672034083913 37.733645224346894, -122.4966850003231 37.733697999721684, -122.49665006472871 37.73375004642456, -122.496685 37.733698)), ((-122.499033 37.734359, -122.498606 37.734186, -122.498031 37.734027, -122.4975387139651 37.73393469636846, -122.4980310000122 37.734026999666, -122.49860599994747 37.73418599992717, -122.4990329997447 37.73435899975182, -122.49906515690331 37.73437265151556, -122.499033 37.734359)), ((-122.498107 37.732268, -122.498193 37.731912, -122.498189 37.731533, -122.498144 37.731374, -122.498127 37.731332, -122.49812700047997 37.73133200020504, -122.49814399999013 37.731373999685864, -122.49818900019595 37.731532999960365, -122.4981930003939 37.731911999787165, -122.4981070001802 37.73226800012962, -122.49769739006386 37.732736754842435, -122.498107 37.732268)), ((-122.500902 37.735253, -122.500493 37.735105, -122.500063 37.734905, -122.49973399686078 37.73472492667987, -122.50006299996467 37.73490499966851, -122.50049300013495 37.73510499989781, -122.50090200038888 37.73525299967702, -122.50099997737023 37.735286129038855, -122.500902 37.735253)), ((-122.501595 37.735438, -122.50124979510466 37.735358337331846, -122.50159500032494 37.73543799969543, -122.50195652671722 37.73550184760832, -122.501595 37.735438)), ((-122.502558 37.735557, -122.50232280981713 37.73553825619036, -122.5025579996994 37.735556999889155, -122.50288279939953 37.73555551350389, -122.502558 37.735557)), ((-122.50311 37.735552, -122.50303362775692 37.73555399231938, -122.50311000006842 37.735551999902825, -122.5031346555507 37.735551773802285, -122.50311 37.735552)), ((-122.506521 37.735572, -122.50638205328615 37.73557164003442, -122.50652100022032 37.73557199984628, -122.50656980245135 37.73557003480062, -122.506521 37.735572)), ((-122.50673562323922 37.73556235426449, -122.5067959996816 37.7355589997415, -122.50679600000312 37.735558999712524, -122.506796 37.735559, -122.50673562323922 37.73556235426449)))",0.0
1913,31201,3000,60750312013000,7,"POLYGON ((-122.459957 37.724731, -122.45940260303439 37.72460581358841, -122.45995699994448 37.72473099966389, -122.46009527296253 37.72475437007817, -122.459957 37.724731))",0.0
1898,30700,1015,60750307001015,8,"MULTIPOLYGON (((-122.442628 37.738565, -122.442625 37.738314, -122.442579 37.738172, -122.442552 37.738097, -122.44255200036821 37.73809700000136, -122.44257900004334 37.73817199977781, -122.44262500007413 37.738313999775706, -122.44262800044716 37.738565000251256, -122.44254896998257 37.738993929046195, -122.442628 37.738565)), ((-122.442578 37.739521, -122.44255476351086 37.73948899502439, -122.44257800021842 37.73952099977093, -122.44258552670964 37.73953169585054, -122.442578 37.739521)), ((-122.443419 37.739902, -122.44302 37.739814, -122.44289335422725 37.73977748250724, -122.4430200000843 37.739813999886614, -122.44341900029254 37.73990199964626, -122.4436319017964 37.73995541899618, -122.443419 37.739902)), ((-122.443876 37.740064, -122.44381824571275 37.74003448819388, -122.443876000227 37.74006400002831, -122.44388982445375 37.74007121275848, -122.443876 37.740064)), ((-122.444098 37.740234, -122.44397335150283 37.740130598405756, -122.44409799998482 37.74023399967088, -122.44412765272409 37.74027212493098, -122.444098 37.740234)), ((-122.444518 37.740693, -122.44445028675894 37.74064087862365, -122.44451800010943 37.74069299966839, -122.4446450363427 37.740770461184574, -122.444518 37.740693)), ((-122.444911 37.740872, -122.44482123743552 37.740841033875135, -122.44491099957146 37.74087199975339, -122.44511699917776 37.74090741740249, -122.444911 37.740872)), ((-122.445738 37.741022, -122.44552300014934 37.74097200003473, -122.44552300021495 37.74097200004496, -122.44573800030015 37.741021999785, -122.44584697485284 37.74108670381888, -122.445738 37.741022)), ((-122.445987 37.74118, -122.44594692209161 37.74115163024462, -122.44598699982217 37.741179999735785, -122.44598700001382 37.74117999998865, -122.445987 37.74118)))",0.0
