TRACTCE,geometry
012001,"POLYGON ((-93.309298 44.901537, -93.308718 44.901531999999996, -93.308655 44.901534999999996, -93.30738799999999 44.901531, -93.306107 44.901523999999995, -93.30484799999999 44.90152, -93.30356599999999 44.901512, -93.302292 44.901516, -93.30100999999999 44.901500999999996, -93.299767 44.901497, -93.299736 44.901497, -93.298495 44.901489, -93.29847 44.901492999999995, -93.297218 44.901485, -93.29592099999999 44.901478, -93.294647 44.901474, -93.293381 44.901466, -93.292114 44.901463, -93.29084 44.901458999999996, -93.289597 44.901450999999994, -93.289574 44.901450999999994, -93.288349 44.901447, -93.288292 44.901443, -93.28833499999999 44.901225, -93.288399 44.900883, -93.288544 44.900318, -93.288727 44.899761, -93.28894799999999 44.899207999999994, -93.289574 44.897835, -93.28989399999999 44.897197999999996, -93.29010799999999 44.896792999999995, -93.29034399999999 44.896392999999996, -93.290611 44.896004, -93.290909 44.895626, -93.291229 44.89526, -93.29158 44.894905, -93.29195399999999 44.894562, -93.292351 44.894238, -93.294007 44.892796999999995, -93.294342 44.892506, -93.29440000000001 44.892451, -93.294647 44.892223, -93.29467 44.892198, -93.294922 44.891929999999995, -93.295181 44.891621, -93.295403 44.891304, -93.29548199999999 44.891172999999995, -93.29560099999999 44.89098, -93.29577599999999 44.890643999999995, -93.29588299999999 44.890395999999996, -93.295975 44.890144, -93.296697 44.89022, -93.298334 44.890392999999996, -93.2985 44.890411, -93.30103299999999 44.890682, -93.304957 44.89071, -93.30659399999999 44.890721, -93.307942 44.890730999999995, -93.308662 44.890736, -93.308982 44.890738, -93.312327 44.89076, -93.313751 44.890769999999996, -93.315822 44.890782, -93.31809299999999 44.890795999999995, -93.31882499999999 44.8908, -93.31882499999999 44.891064, -93.31882499999999 44.892601, -93.31882499999999 44.894397999999995, -93.318829 44.896201999999995, -93.318832 44.897999, -93.31882499999999 44.899817999999996, -93.31882499999999 44.900282999999995, -93.31882499999999 44.901619, -93.317551 44.901610999999995, -93.316277 44.9016, -93.31501 44.901588, -93.313744 44.901573, -93.312469 44.901562, -93.311195 44.901554, -93.309944 44.901543, -93.309298 44.901537))"
012101,"POLYGON ((-93.2472 44.896014, -93.247199 44.89606, -93.24716099999999 44.897642999999995, -93.247154 44.897949, -93.24714999999999 44.898083, -93.24711599999999 44.899376, -93.24713899999999 44.899646999999995, -93.246273 44.899656, -93.245003 44.899665999999996, -93.243729 44.899674999999995, -93.242464 44.899685, -93.24246 44.899803999999996, -93.24121099999999 44.899814, -93.239964 44.899826, -93.23871199999999 44.899837999999995, -93.237465 44.899848999999996, -93.23619099999999 44.899859, -93.234909 44.89987, -93.233639 44.899879999999996, -93.232361 44.899891, -93.232338 44.901699, -93.232323 44.903515, -93.23230699999999 44.905319999999996, -93.232315 44.905338, -93.23104099999999 44.905345, -93.23101799999999 44.905345999999994, -93.22975199999999 44.905353999999996, -93.22847 44.905361, -93.22720299999999 44.905369, -93.225769 44.905369, -93.225166 44.905373, -93.224319 44.905373, -93.222878 44.905373, -93.22288499999999 44.905355, -93.22290000000001 44.904464999999995, -93.22290799999999 44.903574, -93.222931 44.901758, -93.222954 44.898112999999995, -93.222961 44.897487999999996, -93.222961 44.897152, -93.22296899999999 44.896214, -93.22300299999999 44.895664, -93.22303 44.890862, -93.22464199999999 44.890856, -93.227341 44.890845999999996, -93.229439 44.890842, -93.23028599999999 44.890831, -93.231133 44.890792999999995, -93.232475 44.890716999999995, -93.236122 44.890564999999995, -93.246845 44.890561999999996, -93.24698599999999 44.890564, -93.24698599999999 44.890758999999996, -93.247087 44.892587999999996, -93.247185 44.894352, -93.247196 44.894965, -93.247208 44.895657, -93.2472 44.896014))"
012102,"POLYGON ((-93.20772099999999 44.895965, -93.20772699999999 44.895472999999996, -93.20771599999999 44.895227999999996, -93.20770499999999 44.894991999999995, -93.207522 44.890667, -93.22303 44.890862, -93.22300299999999 44.895664, -93.22296899999999 44.896214, -93.222961 44.897152, -93.222961 44.897487999999996, -93.222954 44.898112999999995, -93.222931 44.901758, -93.22290799999999 44.903574, -93.22290000000001 44.904464999999995, -93.22288499999999 44.905355, -93.222878 44.905373, -93.221611 44.905376, -93.22032899999999 44.905377, -93.219055 44.905378999999996, -93.217781 44.90538, -93.217756 44.905376, -93.216515 44.90538, -93.215256 44.905384, -93.215233 44.90538, -93.213974 44.905384, -93.21269199999999 44.905387999999995, -93.211418 44.905384999999995, -93.21013599999999 44.905387999999995, -93.208862 44.905390999999995, -93.207596 44.905392, -93.207619 44.903591, -93.207634 44.901798, -93.207652 44.899963, -93.207664 44.898666, -93.207664 44.898410999999996, -93.20755199999999 44.898146, -93.20758599999999 44.898122, -93.207672 44.898125, -93.20768699999999 44.896316999999996, -93.20772099999999 44.895965))"
022301,"POLYGON ((-93.398786 44.950382, -93.398506 44.950435999999996, -93.397804 44.950587999999996, -93.39711 44.950764, -93.39594 44.951074, -93.395905 44.951083999999994, -93.391014 44.952400000000004, -93.390717 44.95248, -93.388573 44.953056, -93.385834 44.953793, -93.38472 44.954079, -93.38459 44.954113, -93.38340000000001 44.954387999999994, -93.382894 44.953573, -93.38266 44.953196999999996, -93.382858 44.953117, -93.383049 44.953033, -93.383331 44.9529, -93.38359799999999 44.952759, -93.38400999999999 44.952518, -93.38439199999999 44.952255, -93.38475 44.951977, -93.385078 44.951679, -93.38517999999999 44.951572, -93.385376 44.951366, -93.385933 44.950722, -93.38702699999999 44.949461, -93.388199 44.948116, -93.38851199999999 44.947739, -93.38879399999999 44.947345999999996, -93.389038 44.946945, -93.38916599999999 44.946698999999995, -93.389252 44.946532999999995, -93.389427 44.946114, -93.390312 44.943939, -93.39051099999999 44.943501, -93.390732 44.943069, -93.391167 44.942249, -93.392455 44.939864, -93.392879 44.939077999999995, -93.393074 44.938717, -93.39402299999999 44.936932999999996, -93.394981 44.935131, -93.39501899999999 44.935058999999995, -93.396541 44.935063, -93.39788999999999 44.935064, -93.398428 44.935064, -93.39917 44.935064, -93.40066499999999 44.935064, -93.40066499999999 44.935089, -93.400673 44.935795, -93.400711 44.938109999999995, -93.400719 44.938686, -93.400728 44.940523999999996, -93.39905999999999 44.940633999999996, -93.39958 44.94233, -93.400729 44.94238, -93.400729 44.943684999999995, -93.400729 44.944064, -93.400689 44.944756999999996, -93.40068199999999 44.945797999999996, -93.40068199999999 44.945856, -93.400668 44.947995999999996, -93.40065799999999 44.949512999999996, -93.40065 44.949532, -93.400652 44.9497, -93.40065799999999 44.950077, -93.39993299999999 44.950179999999996, -93.399435 44.950261999999995, -93.399216 44.950298, -93.398786 44.950382))"
026101,"POLYGON ((-93.45455199999999 44.940898999999995, -93.454155 44.940867999999995, -93.451683 44.940543999999996, -93.45095099999999 44.940445, -93.450638 44.940414, -93.45032499999999 44.940394999999995, -93.450012 44.940391999999996, -93.449631 44.940414, -93.449249 44.940456, -93.448883 44.940521, -93.448517 44.940608999999995, -93.447701 44.940784, -93.446182 44.941100999999996, -93.446159 44.941105, -93.445618 44.941204, -93.444679 44.941402, -93.44187199999999 44.942001, -93.441757 44.942028, -93.441147 44.942173, -93.440598 44.942307, -93.44004799999999 44.942425, -93.43949099999999 44.942524, -93.43892699999999 44.942608, -93.43639399999999 44.942974, -93.435768 44.94305, -93.435143 44.9431, -93.434517 44.943127, -93.432541 44.943165, -93.432121 44.94318, -93.431702 44.943214, -93.431282 44.943272, -93.430954 44.943324999999994, -93.43062599999999 44.943397999999995, -93.429802 44.943584, -93.429405 44.94368, -93.429008 44.943782999999996, -93.428749 44.943850999999995, -93.428345 44.943962, -93.42793999999999 44.944061, -93.427528 44.944145, -93.426186 44.944389, -93.425646 44.944482, -93.42540699999999 44.944523, -93.425091 44.944579, -93.42489599999999 44.944614, -93.42437699999999 44.944683, -93.42379799999999 44.944759, -93.423576 44.944786, -93.42357899999999 44.945246, -93.42151799999999 44.945600999999996, -93.421066 44.945679, -93.421076 44.944977, -93.42109699999999 44.943732999999995, -93.42112 44.942352, -93.42112 44.942263999999994, -93.41639699999999 44.942274999999995, -93.416533 44.941071, -93.41664899999999 44.940974999999995, -93.416647 44.939637999999995, -93.41882199999999 44.939554, -93.41893999999999 44.937393, -93.420059 44.93729, -93.421042 44.93719, -93.42102799999999 44.936336999999995, -93.421021 44.936222, -93.421013 44.935699, -93.421013 44.935607999999995, -93.421005 44.935092999999995, -93.42102799999999 44.934284, -93.42105099999999 44.933712, -93.421066 44.933139999999995, -93.421082 44.932849999999995, -93.421646 44.932835, -93.42221099999999 44.9328, -93.42276799999999 44.932739, -93.42332499999999 44.932659, -93.423874 44.932556, -93.424408 44.93243, -93.424593 44.932387, -93.423993 44.932221, -93.423014 44.931649, -93.42375899999999 44.931522, -93.42630799999999 44.931484, -93.426346 44.931576, -93.42639899999999 44.931664, -93.426468 44.931743999999995, -93.426735 44.931625, -93.427064 44.931466, -93.427193 44.931404, -93.42949899999999 44.930237999999996, -93.43173999999999 44.929103999999995, -93.434242 44.927841, -93.43575299999999 44.92709, -93.43622599999999 44.926884, -93.43654699999999 44.926766, -93.436714 44.926704, -93.437225 44.926548, -93.43775199999999 44.926418, -93.43828599999999 44.926311, -93.438835 44.926235, -93.43938399999999 44.926182, -93.439602 44.926173, -93.43994099999999 44.926159, -93.440491 44.926162999999995, -93.44110599999999 44.926165999999995, -93.442207 44.92617, -93.44322299999999 44.926182999999995, -93.443703 44.926189, -93.44429799999999 44.926182, -93.44466 44.926165, -93.444885 44.926155, -93.445465 44.926102, -93.446045 44.926029, -93.44661699999999 44.925937999999995, -93.447189 44.925823, -93.447378 44.925781, -93.448174 44.925602, -93.45110799999999 44.924941, -93.451415 44.924872, -93.45145 44.925216999999996, -93.45149099999999 44.925627999999996, -93.451645 44.927166, -93.451706 44.927475, -93.45179 44.927879, -93.451815 44.927966999999995, -93.451904 44.928284, -93.452034 44.92868, -93.452187 44.929077, -93.452362 44.929497, -93.452576 44.929908999999995, -93.45272299999999 44.93016, -93.452744 44.930195, -93.452873 44.930416, -93.455399 44.934577999999995, -93.455536 44.934833999999995, -93.45575699999999 44.935215, -93.45597099999999 44.935596, -93.456169 44.93602, -93.456329 44.936447, -93.456451 44.936882, -93.456543 44.937321, -93.45659599999999 44.937759, -93.45661899999999 44.938202, -93.45659599999999 44.938641, -93.456586 44.938756999999995, -93.456558 44.939079, -93.456497 44.939513999999996, -93.45640399999999 44.939961, -93.456323 44.940529, -93.45630299999999 44.94067, -93.456285 44.940796, -93.456131 44.940819, -93.455742 44.940872, -93.455345 44.940903, -93.454948 44.940909999999995, -93.454731 44.940903999999996, -93.45455199999999 44.940898999999995))"
026403,"POLYGON ((-93.45243099999999 44.978663, -93.450768 44.978691, -93.44909899999999 44.978691999999995, -93.447655 44.97871, -93.447617 44.978702999999996, -93.44692099999999 44.97871, -93.446083 44.978718, -93.446055 44.97871, -93.444786 44.978716999999996, -93.44099399999999 44.978736999999995, -93.44092599999999 44.978736999999995, -93.44078999999999 44.978739, -93.436821 44.978778999999996, -93.436478 44.978783, -93.435951 44.978786, -93.435349 44.978794, -93.430893 44.97884, -93.429245 44.978812999999995, -93.427301 44.978781, -93.42583499999999 44.978756, -93.425812 44.978756, -93.42330199999999 44.978714, -93.42075299999999 44.978671999999996, -93.419579 44.978663999999995, -93.415677 44.978564, -93.411799 44.978564999999996, -93.411766 44.978584, -93.411667 44.978618999999995, -93.41102599999999 44.978615, -93.410629 44.978564, -93.410629 44.973361999999995, -93.410629 44.973012, -93.41139199999999 44.972988, -93.411934 44.972935, -93.41246 44.972862, -93.412987 44.972770999999995, -93.417711 44.971576999999996, -93.418633 44.971343999999995, -93.419106 44.971213999999996, -93.41959399999999 44.971111, -93.41971799999999 44.971091, -93.42009 44.971030999999996, -93.420233 44.971015, -93.420593 44.970974, -93.420853 44.970966, -93.421219 44.970955, -93.421837 44.970951, -93.422508 44.970946999999995, -93.43081699999999 44.970935999999995, -93.430927 44.970935, -93.431631 44.970929999999996, -93.43293399999999 44.970921, -93.43457 44.970909, -93.441284 44.970898, -93.443435 44.970909, -93.444954 44.970917, -93.44524899999999 44.970918999999995, -93.446297 44.970924, -93.451302 44.970955, -93.452167 44.97096, -93.456436 44.970985, -93.456903 44.970991, -93.457397 44.970997, -93.458359 44.971027, -93.459417 44.97105, -93.459942 44.971061, -93.46028899999999 44.971069, -93.460281 44.971291, -93.460256 44.971809, -93.460162 44.973788, -93.460106 44.974948999999995, -93.460083 44.975567, -93.460062 44.976127999999996, -93.459971 44.978578999999996, -93.458823 44.978598, -93.45629199999999 44.978640999999996, -93.45243099999999 44.978663))"
026201,"POLYGON ((-93.499376 44.930262, -93.497604 44.930504, -93.493591 44.931048999999994, -93.492516 44.931194, -93.492165 44.931239999999995, -93.491699 44.931309, -93.491241 44.931400000000004, -93.490799 44.931511, -93.490364 44.931644, -93.489944 44.931796999999996, -93.48953999999999 44.931968999999995, -93.48915099999999 44.932162999999996, -93.488785 44.932373, -93.487343 44.933243, -93.48728299999999 44.933279, -93.485512 44.934352999999994, -93.48533599999999 44.934452, -93.485085 44.934577999999995, -93.484894 44.934673, -93.48479499999999 44.934717, -93.484436 44.934878999999995, -93.484375 44.934903999999996, -93.483971 44.935069999999996, -93.48348999999999 44.935241999999995, -93.482895 44.935424999999995, -93.482297 44.935583, -93.482299 44.935476, -93.48230000000001 44.935398, -93.482292 44.934394999999995, -93.48230000000001 44.934345, -93.482513 44.930805, -93.48256699999999 44.92984, -93.482635 44.928740999999995, -93.48273499999999 44.927212, -93.482796 44.926044, -93.48378799999999 44.925373, -93.484016 44.925219999999996, -93.484398 44.924758999999995, -93.48455799999999 44.924338999999996, -93.484566 44.924313, -93.484703 44.923676, -93.484848 44.923007999999996, -93.48487899999999 44.922802, -93.484894 44.922591999999995, -93.484901 44.922264, -93.484901 44.922249, -93.484901 44.9221, -93.484909 44.921943999999996, -93.48487899999999 44.921786999999995, -93.484825 44.921638, -93.48475599999999 44.921501, -93.48468 44.921368, -93.48458099999999 44.921242, -93.48432199999999 44.920944, -93.483566 44.920066999999996, -93.483437 44.919917999999996, -93.483391 44.919872, -93.483322 44.919838, -93.483246 44.919819, -93.48317 44.919823, -93.48290999999999 44.919849, -93.482666 44.919888, -93.482582 44.91988, -93.482506 44.919852999999996, -93.482445 44.919807, -93.482407 44.919754, -93.482399 44.919692999999995, -93.48317 44.919571, -93.486237 44.91909, -93.48767099999999 44.918869, -93.488113 44.918797, -93.488548 44.918715999999996, -93.488976 44.918625, -93.48940999999999 44.918521999999996, -93.49000799999999 44.918357, -93.49024999999999 44.918289, -93.490662 44.918155999999996, -93.49106599999999 44.918015, -93.49245499999999 44.917519, -93.49260799999999 44.917463999999995, -93.493263 44.917232999999996, -93.49336199999999 44.917198, -93.498138 44.91552, -93.498291 44.915465999999995, -93.49900099999999 44.915211, -93.500438 44.914698, -93.503349 44.913658, -93.504387 44.913277, -93.504898 44.913097, -93.50524899999999 44.912971, -93.505394 44.912921999999995, -93.507446 44.912136, -93.507706 44.912033, -93.509734 44.911255999999995, -93.51005599999999 44.911133, -93.51048999999999 44.910984, -93.510941 44.910858, -93.511398 44.910759, -93.511871 44.910683, -93.512344 44.910633, -93.51282499999999 44.91061, -93.51319099999999 44.91061, -93.513306 44.910613999999995, -93.51387799999999 44.910553, -93.514423 44.910672, -93.515114 44.910880999999996, -93.516106 44.911133, -93.518288 44.911694, -93.51840999999999 44.911724, -93.518867 44.911834999999996, -93.519341 44.911919, -93.519821 44.911972, -93.520302 44.911998999999994, -93.52078999999999 44.911998999999994, -93.521271 44.911972, -93.521751 44.911915, -93.522217 44.911831, -93.52240599999999 44.911786, -93.52268199999999 44.911719999999995, -93.523125 44.911583, -93.523125 44.911804, -93.523125 44.912015, -93.523125 44.912045, -93.523133 44.916779, -93.522544 44.916793, -93.520645 44.91684, -93.52054299999999 44.920451, -93.520119 44.920448, -93.518323 44.920553, -93.518227 44.923969, -93.518293 44.925692, -93.516492 44.926201, -93.507432 44.928763, -93.507432 44.92879, -93.506599 44.929024, -93.505844 44.929221999999996, -93.50508099999999 44.929398, -93.504303 44.929553999999996, -93.503525 44.929691, -93.502731 44.929806, -93.499376 44.930262))"
026202,"POLYGON ((-93.456496 44.923772, -93.456734 44.923725, -93.457672 44.923553, -93.458618 44.923401, -93.458664 44.923393, -93.459114 44.923321, -93.46275299999999 44.922751999999996, -93.46786499999999 44.921951, -93.472758 44.921177, -93.473 44.921139, -93.47554799999999 44.92075, -93.47609899999999 44.920666, -93.478088 44.920364, -93.480156 44.920052, -93.480637 44.919975, -93.482399 44.919692999999995, -93.482407 44.919754, -93.482445 44.919807, -93.482506 44.919852999999996, -93.482582 44.91988, -93.482666 44.919888, -93.48290999999999 44.919849, -93.48317 44.919823, -93.483246 44.919819, -93.483322 44.919838, -93.483391 44.919872, -93.483437 44.919917999999996, -93.483566 44.920066999999996, -93.48432199999999 44.920944, -93.48458099999999 44.921242, -93.48468 44.921368, -93.48475599999999 44.921501, -93.484825 44.921638, -93.48487899999999 44.921786999999995, -93.484909 44.921943999999996, -93.484901 44.9221, -93.484901 44.922249, -93.484901 44.922264, -93.484894 44.922591999999995, -93.48487899999999 44.922802, -93.484848 44.923007999999996, -93.484703 44.923676, -93.484566 44.924313, -93.48455799999999 44.924338999999996, -93.484398 44.924758999999995, -93.484016 44.925219999999996, -93.48378799999999 44.925373, -93.482796 44.926044, -93.48273499999999 44.927212, -93.482635 44.928740999999995, -93.48256699999999 44.92984, -93.482513 44.930805, -93.48230000000001 44.934345, -93.482292 44.934394999999995, -93.48230000000001 44.935398, -93.482299 44.935476, -93.482297 44.935583, -93.481911 44.935673, -93.481529 44.935749, -93.48114 44.93581, -93.48074299999999 44.935863, -93.477173 44.936316999999995, -93.475904 44.936479, -93.471992 44.936977, -93.47126999999999 44.937069, -93.467506 44.937549999999995, -93.467186 44.937591999999995, -93.46690799999999 44.937643, -93.46656 44.937714, -93.46625499999999 44.937785999999996, -93.465958 44.93787, -93.46566 44.937962, -93.46537 44.938064999999995, -93.465088 44.938179, -93.462212 44.939369, -93.461761 44.939544999999995, -93.461235 44.939727999999995, -93.46069299999999 44.939892, -93.460144 44.940033, -93.45957899999999 44.940151, -93.459007 44.94025, -93.45651199999999 44.940643, -93.45630299999999 44.94067, -93.456323 44.940529, -93.45640399999999 44.939961, -93.456497 44.939513999999996, -93.456558 44.939079, -93.456586 44.938756999999995, -93.45659599999999 44.938641, -93.45661899999999 44.938202, -93.45659599999999 44.937759, -93.456543 44.937321, -93.456451 44.936882, -93.456329 44.936447, -93.456169 44.93602, -93.45597099999999 44.935596, -93.45575699999999 44.935215, -93.455536 44.934833999999995, -93.455399 44.934577999999995, -93.452873 44.930416, -93.452744 44.930195, -93.45272299999999 44.93016, -93.452576 44.929908999999995, -93.452362 44.929497, -93.452187 44.929077, -93.452034 44.92868, -93.451904 44.928284, -93.451815 44.927966999999995, -93.45179 44.927879, -93.451706 44.927475, -93.451645 44.927166, -93.45149099999999 44.925627999999996, -93.45145 44.925216999999996, -93.451415 44.924872, -93.45240799999999 44.924648, -93.452579 44.924611, -93.45488 44.924118, -93.455467 44.923984999999995, -93.45580299999999 44.923912, -93.456496 44.923772))"
026205,"POLYGON ((-93.509228 44.911125999999996, -93.509407 44.911179, -93.509613 44.91124, -93.509734 44.911255999999995, -93.507706 44.912033, -93.507446 44.912136, -93.505394 44.912921999999995, -93.50524899999999 44.912971, -93.504898 44.913097, -93.504387 44.913277, -93.503349 44.913658, -93.500438 44.914698, -93.49900099999999 44.915211, -93.498291 44.915465999999995, -93.498138 44.91552, -93.49336199999999 44.917198, -93.493263 44.917232999999996, -93.49260799999999 44.917463999999995, -93.49245499999999 44.917519, -93.49106599999999 44.918015, -93.490662 44.918155999999996, -93.49024999999999 44.918289, -93.49000799999999 44.918357, -93.48940999999999 44.918521999999996, -93.488976 44.918625, -93.488548 44.918715999999996, -93.488113 44.918797, -93.48767099999999 44.918869, -93.486237 44.91909, -93.48317 44.919571, -93.482399 44.919692999999995, -93.480637 44.919975, -93.480156 44.920052, -93.478088 44.920364, -93.47609899999999 44.920666, -93.47554799999999 44.92075, -93.473 44.921139, -93.473061 44.920251, -93.47307599999999 44.920029, -93.473068 44.919658999999996, -93.473061 44.919304, -93.473083 44.919239, -93.473129 44.919174, -93.47319 44.919121, -93.47326699999999 44.919078999999996, -93.47493 44.918490999999996, -93.475357 44.918343, -93.47544099999999 44.918304, -93.47551 44.918247, -93.475555 44.918178999999995, -93.475563 44.918102, -93.475563 44.917587, -93.475555 44.916489, -93.475555 44.916427999999996, -93.47554799999999 44.915493, -93.475517 44.912971, -93.475495 44.911516, -93.475494 44.911418999999995, -93.475471 44.910194, -93.475471 44.909800999999995, -93.475464 44.909355, -93.475464 44.909335999999996, -93.475456 44.908736999999995, -93.47544099999999 44.907531999999996, -93.475433 44.907463, -93.475433 44.907394, -93.475426 44.907135, -93.47541 44.906647, -93.475922 44.905746, -93.476074 44.905429999999996, -93.476097 44.905331, -93.476089 44.905228, -93.476036 44.905131999999995, -93.47596 44.905048, -93.475853 44.904979999999995, -93.475723 44.904934, -93.47539499999999 44.904861, -93.475296 44.904835, -93.47520399999999 44.904793, -93.475128 44.904742999999996, -93.474991 44.904629, -93.474876 44.904506999999995, -93.474785 44.904373, -93.474724 44.904292999999996, -93.47466999999999 44.904236, -93.474632 44.903614, -93.474442 44.903374, -93.473862 44.90324, -93.47352599999999 44.90316, -93.473221 44.90237, -93.47403 44.901627, -93.474228 44.901443, -93.47430399999999 44.901466, -93.474693 44.901726, -93.47505199999999 44.902007999999995, -93.47533399999999 44.902142, -93.475624 44.90226, -93.475937 44.902359, -93.47625699999999 44.902439, -93.476631 44.90247, -93.47713499999999 44.902508, -93.478004 44.90247, -93.478073 44.90247, -93.478172 44.902473, -93.478477 44.902508, -93.47878299999999 44.902569, -93.479073 44.902653, -93.47934 44.90276, -93.479942 44.902985, -93.480995 44.903385, -93.481293 44.903484, -93.481354 44.9035, -93.481606 44.903557, -93.481918 44.90361, -93.48310099999999 44.90377, -93.48310099999999 44.903751, -93.486603 44.904185999999996, -93.486786 44.904208999999994, -93.486969 44.904227999999996, -93.487785 44.904326999999995, -93.488075 44.904362, -93.488457 44.904404, -93.488838 44.90443, -93.48921999999999 44.904438, -93.489418 44.90444, -93.49312599999999 44.90448, -93.493774 44.904484, -93.494171 44.904495, -93.494568 44.90453, -93.494957 44.904587, -93.4953 44.904658999999995, -93.495346 44.904666999999996, -93.495705 44.904762, -93.496056 44.904877, -93.496391 44.90501, -93.496704 44.905167, -93.497002 44.905342, -93.497276 44.905536999999995, -93.497528 44.905746, -93.497704 44.905895, -93.49819199999999 44.906357, -93.49825299999999 44.90641, -93.500343 44.907536, -93.50061799999999 44.907596999999996, -93.500683 44.907612, -93.502838 44.908096, -93.503242 44.908305999999996, -93.503349 44.908359999999995, -93.50356599999999 44.908476, -93.503891 44.908649, -93.503975 44.908694999999994, -93.50434899999999 44.908894, -93.507706 44.910606, -93.50782799999999 44.910671, -93.508026 44.910773999999996, -93.509228 44.911125999999996))"
020302,"POLYGON ((-93.344366 45.08719, -93.34422599999999 45.087061, -93.343566 45.086456, -93.34352899999999 45.086422, -93.342873 45.085777, -93.342501 45.085409999999996, -93.341537 45.084457, -93.341431 45.084347, -93.340965 45.083892999999996, -93.338989 45.082012, -93.33869899999999 45.081738, -93.33693699999999 45.080073999999996, -93.335297 45.0784, -93.335381 45.078358, -93.335281 45.078255, -93.334824 45.077801, -93.334251 45.077251, -93.33410599999999 45.07711, -93.333435 45.076477, -93.333286 45.076336999999995, -93.333109 45.076170999999995, -93.332929 45.076001999999995, -93.33332 45.076004, -93.335331 45.076014, -93.336243 45.076018999999995, -93.33846299999999 45.076031, -93.3405 45.076035, -93.34563399999999 45.076153, -93.350624 45.076263, -93.35065499999999 45.076972999999995, -93.350731 45.077847, -93.35076199999999 45.078815, -93.350803 45.080078, -93.351129 45.081764, -93.351128 45.081882, -93.351103 45.084604, -93.351089 45.086121999999996, -93.35108 45.087191999999995, -93.34851599999999 45.087244999999996, -93.344366 45.08719))"
