Name,Label,Concept
DP01_0001,General Demographic Characteristics!!Total population,General Demographic Characteristics
DP01_0002,General Demographic Characteristics!!SEX AND AGE!!Male,General Demographic Characteristics
DP01_0003,General Demographic Characteristics!!SEX AND AGE!!Female,General Demographic Characteristics
DP01_0004,General Demographic Characteristics!!SEX AND AGE!!Under 5 years,General Demographic Characteristics
DP01_0005,General Demographic Characteristics!!SEX AND AGE!!5 to 9 years,General Demographic Characteristics
DP01_0006,General Demographic Characteristics!!SEX AND AGE!!10 to 14 years,General Demographic Characteristics
DP01_0007,General Demographic Characteristics!!SEX AND AGE!!15 to 19 years,General Demographic Characteristics
DP01_0008,General Demographic Characteristics!!SEX AND AGE!!20 to 24 years,General Demographic Characteristics
DP01_0009,General Demographic Characteristics!!SEX AND AGE!!25 to 34 years,General Demographic Characteristics
DP01_0010,General Demographic Characteristics!!SEX AND AGE!!35 to 44 years,General Demographic Characteristics
DP01_0011,General Demographic Characteristics!!SEX AND AGE!!45 to 54 years,General Demographic Characteristics
DP01_0012,General Demographic Characteristics!!SEX AND AGE!!55 to 59 years,General Demographic Characteristics
DP01_0013,General Demographic Characteristics!!SEX AND AGE!!60 to 64 years,General Demographic Characteristics
DP01_0014,General Demographic Characteristics!!SEX AND AGE!!65 to 74 years,General Demographic Characteristics
DP01_0015,General Demographic Characteristics!!SEX AND AGE!!75 to 84 years,General Demographic Characteristics
DP01_0016,General Demographic Characteristics!!SEX AND AGE!!85 years and over,General Demographic Characteristics
DP01_0017,General Demographic Characteristics!!SEX AND AGE!!Median age (years),General Demographic Characteristics
DP01_0018,General Demographic Characteristics!!SEX AND AGE!!18 years and over,General Demographic Characteristics
DP01_0019,General Demographic Characteristics!!SEX AND AGE!!21 years and over,General Demographic Characteristics
DP01_0020,General Demographic Characteristics!!SEX AND AGE!!62 years and over ,General Demographic Characteristics
DP01_0021,General Demographic Characteristics!!SEX AND AGE!!65 years and over,General Demographic Characteristics
DP01_0022,General Demographic Characteristics!!SEX AND AGE!!18 years and over,General Demographic Characteristics
DP01_0023,General Demographic Characteristics!!SEX AND AGE!!Male,General Demographic Characteristics
DP01_0024,General Demographic Characteristics!!SEX AND AGE!!Female,General Demographic Characteristics
DP01_0025,General Demographic Characteristics!!SEX AND AGE!!65 years and over,General Demographic Characteristics
DP01_0026,General Demographic Characteristics!!SEX AND AGE!!Male,General Demographic Characteristics
DP01_0027,General Demographic Characteristics!!SEX AND AGE!!Female,General Demographic Characteristics
DP01_0028,General Demographic Characteristics!!RACE!!One race,General Demographic Characteristics
DP01_0029,General Demographic Characteristics!!RACE!!Two or more races,General Demographic Characteristics
DP01_0030,General Demographic Characteristics!!RACE!!Total population,General Demographic Characteristics
DP01_0031,General Demographic Characteristics!!RACE!!One race,General Demographic Characteristics
DP01_0032,General Demographic Characteristics!!RACE!!White,General Demographic Characteristics
DP01_0033,General Demographic Characteristics!!RACE!!Black or African American,General Demographic Characteristics
DP01_0034,General Demographic Characteristics!!RACE!!American Indian and Alaska Native,General Demographic Characteristics
DP01_0035,General Demographic Characteristics!!RACE!!Cherokee tribal grouping,General Demographic Characteristics
DP01_0036,General Demographic Characteristics!!RACE!!Chippewa tribal grouping,General Demographic Characteristics
DP01_0037,General Demographic Characteristics!!RACE!!Navajo tribal grouping,General Demographic Characteristics
